emotion,Team Leader,HR Manager,Crisis Manager,Innovation Head,Quality Assurance Manager,Security Officer,Operations Manager,Researcher,Sales Representative,Marketing Director,Customer Support,Project Manager,Executive,Product Manager,Negotiator,Entrepreneur,Financial Analyst,Training Manager,Public Relations Officer,Data Scientist,Business Analyst,Software Engineer,IT Support Specialist,UX/UI Designer,Accountant,Legal Advisor,Supply Chain Manager,Graphic Designer,Operations Research Analyst,Logistics Coordinator,Customer Success Manager,Marketing Manager,Content Strategist,Social Media Manager,Chief Technology Officer (CTO),Chief Executive Officer (CEO),Chief Financial Officer (CFO),Chief Operations Officer (COO),Recruiter
decisiveness,49,71,91,71,64,86,34,46,68,76,55,97,61,51,99,41,88,97,76,30,48,85,68,36,64,65,31,50,36,67,57,66,75,55,71,74,72,32,77
decisiveness,59,36,32,83,70,67,45,63,75,73,80,96,92,58,64,93,73,65,45,75,86,30,73,36,43,95,59,73,58,81,95,95,58,38,89,86,99,46,88
confidence,68,91,33,89,62,41,97,50,33,97,85,52,98,30,82,86,78,86,77,65,35,85,82,47,30,52,70,60,84,35,79,45,90,36,99,48,57,89,84
stability,81,41,96,75,94,65,55,39,98,49,95,39,56,84,98,80,70,66,76,34,92,41,57,79,74,62,68,86,89,60,63,55,77,100,71,88,51,63,31
empathy,67,100,93,50,62,36,96,97,98,70,60,79,90,83,89,92,74,33,41,84,50,34,86,67,83,97,79,69,86,48,58,62,83,82,32,44,38,70,97
attention_to_detail,69,36,68,50,30,84,75,75,36,48,46,57,41,97,61,91,38,45,57,52,84,62,42,70,92,100,89,91,71,32,68,52,93,100,70,83,88,43,71
attention_to_detail,68,97,58,48,90,72,100,100,75,46,85,42,96,86,41,71,38,89,81,70,60,67,59,44,97,70,68,83,83,42,46,60,47,54,30,44,61,30,55
decisiveness,99,51,79,54,79,44,59,75,55,66,70,51,85,41,74,74,52,51,57,98,99,78,57,71,41,32,35,40,44,82,49,57,33,47,86,88,51,73,41
attention_to_detail,35,39,100,55,30,67,78,52,99,35,83,99,96,50,88,60,80,52,61,95,52,85,91,52,70,50,54,98,59,44,47,57,73,33,33,80,67,62,66
empathy,65,99,76,36,84,54,50,85,40,55,53,91,82,90,72,83,61,90,40,39,77,35,92,35,94,35,57,50,63,100,50,60,86,80,74,90,30,38,83
decisiveness,79,45,31,43,99,64,68,80,66,34,58,47,41,69,37,69,35,35,60,49,35,92,78,87,47,71,74,95,57,75,67,93,63,63,60,81,100,93,86
confidence,83,73,93,45,92,98,95,91,80,45,97,38,55,51,100,65,87,49,77,48,43,84,76,94,77,55,39,80,80,85,85,88,30,69,90,59,31,50,61
creativity,62,78,97,45,99,37,77,45,94,41,59,32,66,98,56,78,88,60,65,45,71,92,91,63,78,48,64,61,71,76,51,45,100,85,76,90,77,35,96
empathy,80,86,32,80,86,66,99,64,79,61,99,77,56,54,52,82,72,49,78,38,82,61,58,100,68,71,77,79,43,46,73,83,97,92,71,55,47,33,82
attention_to_detail,46,68,66,85,79,91,72,78,92,90,97,95,100,97,95,65,52,80,55,73,83,31,82,46,66,99,36,85,83,62,37,43,91,83,93,66,44,36,78
stability,53,62,67,84,77,94,44,78,43,57,31,85,69,86,77,39,48,76,34,42,38,61,30,46,96,93,75,88,100,78,79,80,46,88,62,94,90,73,63
vigilance,98,73,96,69,73,59,34,41,52,54,79,97,32,99,85,30,90,67,82,44,66,51,63,39,71,64,35,98,98,83,38,80,32,41,50,38,48,78,61
creativity,92,39,47,50,33,68,35,31,57,87,39,37,61,52,93,32,95,79,65,55,77,84,87,75,40,72,40,71,46,43,93,53,74,75,79,70,46,73,100
vigilance,64,35,57,41,41,71,73,74,99,31,71,52,66,60,32,52,70,50,87,53,39,39,83,98,54,51,70,81,65,68,53,100,48,87,75,94,75,84,73
